MSST,MISS,probability
59,66,0.000127248
23,55,0.000126853
6,53,0.000126466
28,63,0.000126087
18,34,0.000126033
66,44,0.000125954
59,23,0.000125509
21,51,0.000125348
30,20,0.000125251
18,45,0.000125098
20,43,0.000124852
70,59,0.000124001
41,17,0.000123963
62,49,0.00012396
81,44,0.000123838
31,29,0.000123222
30,21,0.000123188
31,73,0.000122864
19,28,0.000122732
34,40,0.000122498
24,47,0.000122395
13,54,0.000122252
49,55,0.000121784
38,62,0.000121587
11,34,0.000121547
24,25,0.00012154
37,49,0.000121504
44,28,0.000121408
27,29,0.000121326
56,56,0.000121287
14,54,0.000121281
27,73,0.000120973
11,45,0.000120646
77,56,0.000120595
73,44,0.000120277
33,35,0.000119811
31,51,0.000119557
63,20,0.000119525
20,69,0.000119476
32,34,0.000118722
69,49,0.000118614
41,33,0.000118533
17,53,0.000118417
22,41,0.000117943
32,45,0.000117841
27,51,0.000117717
63,21,0.000117556
13,22,0.000117518
35,17,0.000117137
7,13,0.000116766
16,17,0.000116599
14,22,0.000116585
25,34,0.000116405
13,50,0.000116359
41,66,0.00011635
30,56,0.000115918
19,42,0.000115696
25,45,0.000115542
14,50,0.000115435
9,44,0.000115349
40,34,0.000115115
55,20,0.000114972
19,52,0.000114835
41,23,0.00011476
3,18,0.000114572
48,44,0.000114458
44,42,0.000114448
28,40,0.000114377
40,45,0.000114262
29,34,0.000114194
12,48,0.000113764
44,52,0.000113596
52,63,0.000113378
29,45,0.000113347
45,32,0.000113282
56,55,0.000113193
55,21,0.000113078
70,37,0.000113074
77,55,0.000112548
35,33,0.000112006
21,36,0.000111801
16,33,0.000111492
59,63,0.000111465
24,77,0.000111387
51,34,0.000111359
76,38,0.000111302
39,38,0.000111099
38,39,0.000111045
18,24,0.000110856
63,56,0.000110619
76,31,0.000110554
51,45,0.000110533
13,46,0.000110449
39,31,0.000110351
35,66,0.000109943
20,47,0.000109708
14,46,0.000109572
16,66,0.000109438
13,58,0.000109426
22,35,0.000109145
26,28,0.00010912
62,30,0.000109065
42,44,0.000109
20,25,0.000108942
34,32,0.000108905
66,17,0.000108658
14,58,0.000108557
35,23,0.000108441
18,27,0.000108386
23,44,0.000108277
38,26,0.000108267
30,55,0.000108183
3,61,0.000108009
16,23,0.000107943
3,78,0.00010783
45,62,0.000106915
11,24,0.00010691
37,30,0.000106905
81,17,0.000106833
78,38,0.00010671
31,36,0.000106635
55,56,0.000106405
78,31,0.000105992
15,34,0.000105524
27,36,0.000104994
3,64,0.000104905
6,14,0.000104766
15,45,0.000104741
62,59,0.000104668
7,76,0.000104614
11,27,0.000104529
32,24,0.000104425
65,38,0.00010437
69,30,0.000104362
49,44,0.000103951
66,33,0.000103899
6,65,0.000103843
73,17,0.000103761
65,31,0.000103668
63,55,0.000103237
26,42,0.000102864
52,40,0.000102849
34,62,0.000102784
37,59,0.000102594
33,28,0.000102393
25,24,0.000102387
81,33,0.000102154
24,81,0.000102146
26,52,0.000102099
32,27,0.000102098
66,66,0.000101985
41,63,0.000101918
10,13,0.000101785
28,32,0.000101685
40,24,0.000101253
59,40,0.000101113
21,70,0.000100922
66,23,0.000100592
29,24,0.000100442
81,66,0.000100272
70,20,0.000100227
69,59,0.000100154
38,29,0.000100121
25,27,0.000100106
19,48,0.000100046
18,41,0.000100001
20,77,9.98E-05
38,73,9.98E-05
9,17,9.95E-05
55,55,9.93E-05
73,33,9.92E-05
40,27,9.90E-05
44,48,9.90E-05
81,23,9.89E-05
12,49,9.88E-05
48,17,9.87E-05
70,21,9.86E-05
29,27,9.82E-05
17,14,9.81E-05
51,24,9.79E-05
45,39,9.76E-05
73,66,9.74E-05
17,65,9.72E-05
38,51,9.71E-05
3,57,9.69E-05
56,44,9.66E-05
33,42,9.65E-05
11,41,9.64E-05
35,63,9.63E-05
31,70,9.63E-05
77,44,9.61E-05
73,23,9.61E-05
28,62,9.60E-05
16,63,9.59E-05
33,52,9.58E-05
51,27,9.58E-05
62,37,9.54E-05
45,26,9.52E-05
9,33,9.52E-05
27,70,9.48E-05
48,33,9.44E-05
32,41,9.42E-05
42,17,9.40E-05
34,39,9.39E-05
37,37,9.36E-05
23,17,9.34E-05
9,66,9.34E-05
22,28,9.33E-05
13,53,9.31E-05
15,24,9.28E-05
70,56,9.28E-05
48,66,9.27E-05
18,35,9.25E-05
3,72,9.25E-05
41,40,9.25E-05
25,41,9.24E-05
14,53,9.23E-05
30,44,9.23E-05
21,43,9.22E-05
9,23,9.21E-05
20,81,9.16E-05
34,26,9.15E-05
52,32,9.14E-05
48,23,9.14E-05
40,41,9.13E-05
69,37,9.13E-05
10,76,9.12E-05
58,38,9.08E-05
15,27,9.07E-05
29,41,9.06E-05
58,31,9.02E-05
7,18,9.00E-05
42,33,8.99E-05
59,32,8.99E-05
49,17,8.97E-05
24,54,8.96E-05
66,63,8.93E-05
23,33,8.93E-05
11,35,8.92E-05
26,48,8.90E-05
6,19,8.86E-05
51,41,8.84E-05
36,38,8.83E-05
21,69,8.83E-05
42,66,8.83E-05
63,44,8.81E-05
45,29,8.80E-05
31,43,8.80E-05
22,42,8.79E-05
81,63,8.78E-05
76,34,8.78E-05
45,73,8.78E-05
36,31,8.77E-05
23,66,8.77E-05
28,39,8.76E-05
39,34,8.76E-05
35,40,8.74E-05
22,52,8.73E-05
32,35,8.72E-05
76,45,8.72E-05
42,23,8.71E-05
39,45,8.70E-05
16,40,8.70E-05
12,30,8.69E-05
19,49,8.69E-05
38,36,8.66E-05
27,43,8.66E-05
70,55,8.66E-05
23,23,8.65E-05
52,62,8.63E-05
24,22,8.61E-05
44,49,8.59E-05
49,33,8.57E-05
25,35,8.55E-05
28,26,8.55E-05
45,51,8.54E-05
73,63,8.53E-05
24,50,8.53E-05
7,61,8.49E-05
59,62,8.48E-05
55,44,8.48E-05
7,78,8.47E-05
34,29,8.46E-05
62,20,8.46E-05
40,35,8.45E-05
34,73,8.44E-05
31,69,8.42E-05
78,34,8.42E-05
49,66,8.42E-05
29,35,8.38E-05
15,41,8.37E-05
78,45,8.36E-05
33,48,8.35E-05
12,59,8.34E-05
56,17,8.34E-05
62,21,8.32E-05
49,23,8.30E-05
17,19,8.30E-05
37,20,8.29E-05
27,69,8.29E-05
77,17,8.29E-05
