homeTeamAbbrev,teamName,observedRecord,observedWinPercent,win,pointsForAvg,pointsAgainstAvg,movAvg,observedDominance,scheduleStrength,scheduleStrengthRank,winRank,movRank,dominanceRank,ovr,ovrRank
MCN,McNeese Cowboys,16.0 - 2.0,0.8888888888888888,0.9583333333333334,76.38829063003764,65.23620284293645,11.152087787101195,0.1733343819342603,-0.0027583180231949157,141.0,16.0,54.0,59.0,3.926657788345454,40.0
TTU,Texas Tech Red Raiders,14.0 - 3.0,0.8235294117647058,0.8638888888888889,77.78166588223796,64.47908939247199,13.302576489765968,0.1809804866676466,0.0416008623816191,70.0,50.0,35.0,50.0,3.8747616447824207,41.0
COLO,Colorado Buffaloes,14.0 - 5.0,0.7368421052631579,0.8333333333333334,83.35730848749101,68.99894337850778,14.358365108983236,0.1787042506974433,0.03749354248306187,77.0,58.5,29.0,54.0,3.8663593031814845,42.0
SC,South Carolina Gamecocks,15.0 - 3.0,0.8333333333333334,0.8722222222222222,73.68597129487354,64.08842239229858,9.597548902574957,0.2341231957521024,0.011111948897225808,118.0,47.0,63.0,26.0,3.8438453358201463,43.0
WAKE,Wake Forest Demon Deacons,13.0 - 5.0,0.7222222222222222,0.9083333333333333,79.47240054179623,67.92673000514537,11.54567053665086,0.1800078970563057,0.03707885489558968,78.0,32.5,51.0,52.0,3.836923061908649,44.0
HALL,Seton Hall Pirates,13.0 - 5.0,0.7222222222222222,0.8805555555555555,77.60661830513533,68.10610283126263,9.500515473872696,0.2277772625417175,0.1013133982068877,16.0,44.0,67.0,27.0,3.8228486762129568,45.0
JMU,James Madison Dukes,17.0 - 2.0,0.8947368421052632,0.9055555555555556,80.19513689872264,68.83545334126418,11.359683557458453,0.1744612372295104,-0.06671032144517813,292.0,34.0,53.0,58.0,3.773099752706515,46.0
APP,Appalachian State Mountaineers,15.0 - 4.0,0.7894736842105263,0.9722222222222222,74.96374161153538,64.19671560066382,10.767026010871561,0.1451091190313415,-0.019788836542303092,178.0,11.0,56.0,74.0,3.7580412660284095,47.0
FAU,Florida Atlantic Owls,14.0 - 4.0,0.7777777777777778,0.8861111111111111,81.81273361782551,69.96769332124633,11.845040296579185,0.1727736559605163,0.04583137496430715,65.0,41.5,48.0,60.0,3.746574519891862,48.0
IOWA,Iowa Hawkeyes,11.0 - 6.0,0.6470588235294118,0.8416666666666667,88.79799085128931,76.49525733316612,12.30273351812319,0.1856950972099807,0.08580565025251524,26.0,57.0,42.0,47.0,3.7217758142312887,49.0
