homeTeamAbbrev,awayTeamAbbrev,sport,index,probability,odds,kelly,unitPercent,unitReturn
CHI,GS,NBA,homeCover,0.49025399999999997,-112.0,"(-0.08066152000000004, 0)",-0.08066152000000004,0.0
MEM,LAC,NBA,homeCover,0.48352599999999996,-110.0,"(-0.08459540000000015, 0)",-0.08459540000000015,0.0
NEV,BOIS,NCAAB,awayWin,0.25919899999999985,210.0,"(-0.09356338095238115, 0)",-0.09356338095238115,0.0
NIA,FAIR,NCAAB,over,0.47733200000000003,-110.0,"(-0.09760279999999993, 0)",-0.09760279999999993,0.0
MIN,PHI,NHL,under,0.46120099999999997,-105.0,"(-0.1045379500000001, 0)",-0.1045379500000001,0.0
CAN,SIE,NCAAB,awayWin,0.09339200000000014,455.0,"(-0.10586250549450532, 0)",-0.10586250549450532,0.0
DUQ,DAY,NCAAB,homeWin,0.48267499999999985,-115.0,"(-0.11224875000000034, 0)",-0.11224875000000034,0.0
MIA,ORL,NBA,awayWin,0.3804280000000001,124.0,"(-0.11922683870967726, 0)",-0.11922683870967726,0.0
KENN,FGCU,NCAAB,awayWin,0.194102,249.44444444444446,"(-0.12897514922048997, 0)",-0.12897514922048997,0.0
CHI,GS,NBA,homeWin,0.556046,-155.0,"(-0.1320826999999999, 0)",-0.1320826999999999,0.0
NIA,FAIR,NCAAB,awayWin,0.507197,-130.0,"(-0.13344689999999992, 0)",-0.13344689999999992,0.0
IU,MINN,NCAAB,homeCover,0.4467609999999999,-105.0,"(-0.13413995000000017, 0)",-0.13413995000000017,0.0
NIA,FAIR,NCAAB,awayCover,0.45935299999999996,-110.0,"(-0.13535870000000022, 0)",-0.13535870000000022,0.0
DUQ,DAY,NCAAB,homeCover,0.45902099999999996,-112.0,"(-0.1468754800000001, 0)",-0.1468754800000001,0.0
UTAH,TOR,NBA,awayWin,0.388814,114.0,"(-0.14731407017543863, 0)",-0.14731407017543863,0.0
UTAH,TOR,NBA,awayCover,0.45314,-110.0,"(-0.14840600000000004, 0)",-0.14840600000000004,0.0
MIN,PHI,NHL,over,0.46577899999999994,-115.0,"(-0.1485751500000001, 0)",-0.1485751500000001,0.0
MIA,ORL,NBA,awayCover,0.44464699999999996,-108.0,"(-0.15513424000000003, 0)",-0.15513424000000003,0.0
CAN,SIE,NCAAB,under,0.449447,-110.0,"(-0.15616130000000011, 0)",-0.15616130000000011,0.0
DET,HOU,NBA,under,0.44297499999999995,-110.0,"(-0.16975250000000014, 0)",-0.16975250000000014,0.0
DUQ,DAY,NCAAB,under,0.438587,-110.0,"(-0.1789673, 0)",-0.1789673,0.0
UTAH,TOR,NBA,over,0.434243,-110.0,"(-0.18808970000000008, 0)",-0.18808970000000008,0.0
MILW,CLEV,NCAAB,homeCover,0.431385,-110.0,"(-0.19409149999999997, 0)",-0.19409149999999997,0.0
UNF,JAX,NCAAB,under,0.429243,-110.0,"(-0.19858970000000004, 0)",-0.19858970000000004,0.0
IOWA,NEB,NCAAB,under,0.428208,-110.0,"(-0.20076320000000009, 0)",-0.20076320000000009,0.0
DAL,NSH,NHL,homeCover,0.297962,140.0,"(-0.20349371428571422, 0)",-0.20349371428571422,0.0
DAL,NSH,NHL,awayWin,0.279184,145.0,"(-0.2179304827586207, 0)",-0.2179304827586207,0.0
ATL,IND,NBA,homeCover,0.41899300000000006,-110.0,"(-0.22011469999999989, 0)",-0.22011469999999989,0.0
IOWA,NEB,NCAAB,homeCover,0.415345,-110.0,"(-0.22777549999999996, 0)",-0.22777549999999996,0.0
SA,CHA,NBA,under,0.412983,-110.0,"(-0.2327357, 0)",-0.2327357,0.0
AKR,BUFF,NCAAB,awayCover,0.411522,-110.0,"(-0.23580380000000006, 0)",-0.23580380000000006,0.0
