homeTeamAbbrev,awayTeamAbbrev,sport,bookie,betType,probability,odds,unitPercent,unitReturn,vegasProbability,redFlag
VAN,CHI,NHL,FanDuel,homeCover,0.740354,-164.0,0.31453455999999985,0.060324383801459464,0.603156909082802,False
VAN,CHI,NHL,BetMGM,homeCover,0.5874099999999999,115.0,0.2286360869565215,0.06011562929760855,0.603156909082802,False
NJ,VGK,NHL,FanDuel,awayCover,0.8089910000000002,-230.0,0.3696703000000008,0.05941570900090894,0.6768906579255444,False
SELA,NWST,NCAAB,FanDuel,under,0.645008,-110.0,0.25451680000000004,0.058889819529309155,0.5,False
AMCC,MCN,NCAAB,BetMGM,awayCover,0.642708,-110.0,0.24968679999999988,0.05667590735839997,0.5,False
SAC,ATL,NBA,FanDuel,over,0.6392229999999999,-110.0,0.2423682999999997,0.053402175313536276,0.5,False
LA,SJ,NHL,FanDuel,homeCover,0.696319,-140.0,0.27116560000000006,0.05252198758811431,0.5599580042908658,False
SELA,NWST,NCAAB,DraftKings,awayCover,0.637746,-110.0,0.23926660000000005,0.05204409625050913,0.5,False
UIW,NICH,NCAAB,BetMGM,under,0.6370169999999999,-110.0,0.23773569999999988,0.051380239140445406,0.5,False
VAN,CHI,NHL,DraftKings,homeCover,0.740354,-175.0,0.2859734999999999,0.04673191011557135,0.603156909082802,False
MIN,CHA,NBA,FanDuel,under,0.6314350000000001,-110.0,0.22601350000000014,0.04643827471113645,0.5,False
SAC,ATL,NBA,BetMGM,over,0.619017,-105.0,0.21898485000000006,0.045670823361450036,0.5,False
NJ,VGK,NHL,BetMGM,awayCover,0.8089910000000002,-250.0,0.33146850000000083,0.043948546596900194,0.6768906579255444,False
HCU,UNO,NCAAB,DraftKings,homeWin,0.54931,124.0,0.1858503225806451,0.04283002458012901,0.4279403644395361,False
HCU,UNO,NCAAB,FanDuel,homeCover,0.614391,-105.0,0.20950155000000004,0.04180085662133572,0.5,False
AMCC,MCN,NCAAB,DraftKings,awayCover,0.642708,-118.0,0.22110343999999987,0.04142943320324878,0.5,False
LA,SJ,NHL,DraftKings,homeCover,0.696319,-148.0,0.24687112000000005,0.041179290466253,0.5599580042908658,False
HCU,UNO,NCAAB,FanDuel,homeWin,0.54931,122.0,0.17989196721311468,0.039480566238721274,0.4279403644395361,False
DAL,BOS,NBA,BetMGM,under,0.622235,-110.0,0.20669349999999997,0.03883836631113635,0.5,False
KU,CIN,NCAAB,FanDuel,awayWin,0.314346,330.0,0.10657206060606061,0.037480093536012137,0.22807794508414522,False
SAC,ATL,NBA,DraftKings,over,0.619017,-110.0,0.19993570000000005,0.03634025830408185,0.5,False
MTST,IDST,NCAAB,DraftKings,homeWin,0.761276,-205.0,0.27189179999999985,0.03606104922304389,0.644729178800233,False
KU,CIN,NCAAB,BetMGM,awayWin,0.314346,325.0,0.10337553846153849,0.034731131344692336,0.22807794508414522,False
HCU,UNO,NCAAB,DraftKings,homeCover,0.614391,-110.0,0.19022110000000003,0.032894606259281825,0.5,False
LA,SJ,NHL,FanDuel,homeWin,0.857159,-360.0,0.3429314,0.03266720697387773,0.759493670886076,False
MTST,IDST,NCAAB,BetMGM,homeWin,0.761276,-210.0,0.25995559999999984,0.03217948284350475,0.644729178800233,False
KU,CIN,NCAAB,DraftKings,awayWin,0.314346,320.0,0.10007912500000002,0.03205066003445001,0.22807794508414522,False
TOR,MEM,NBA,FanDuel,under,0.60947,-110.0,0.1798869999999999,0.029417575244545444,0.5,False
VAN,CHI,NHL,FanDuel,over,0.5741659999999998,104.0,0.16471023076923047,0.02821463852485527,0.5306745238345786,False
LA,SJ,NHL,BetMGM,homeWin,0.857159,-375.0,0.32150524999999996,0.027564166874016676,0.759493670886076,False
ORL,CLE,NBA,DraftKings,homeCover,0.6011390000000001,-108.0,0.1703691200000002,0.026875589860717093,0.5,False
VAN,CHI,NHL,FanDuel,homeWin,0.8751429999999999,-430.0,0.33825789999999945,0.026608931840095214,0.7825092738452157,False
