,teamName,teamConference,homeDom,homeCount,homeConferenceCount,awayDom,awayCount,awayConferenceCount,conferenceGames,homeCookin,ovrDom,homeDomAdj,homeDomAdjCnt,awayDomAdj,awayDomAdjCnt,ovrDomAdj,conferenceRating,ovrRating,teamTopExpPerf,teamRegRsq,finalRating,rank
tid_2653,Troy Trojans,Sun Belt Conference,1.172632261547581,5,3,1.0286377396790016,4,2,5,1.05,1.1534358257616846,1.057780820898509,4,1.070641748558323,4,1.1004644205499015,1.056700259437227,1.111265418968881,0.8081217326864141,0.598938667397849,1.0933848257311816,37.0
tid_2294,Iowa Hawkeyes,Big Ten Conference,1.1980121512580544,5,3,1.0256426521539292,4,3,6,1.05,1.1657271873170592,0.9897568370705127,5,1.0582058183430463,4,1.054367420973093,1.1030920902521912,1.0994368143020976,0.8136594649731723,0.5361363123558731,1.0893586474392332,38.0
tid_2390,Miami Hurricanes,Atlantic Coast Conference,1.1451178310195784,6,3,0.8539985617267789,3,2,5,1.05,1.0826947842500512,1.076153047741853,5,0.9447379913457613,3,1.059788291393737,1.1740143404738164,1.086668695616654,0.8205779990942019,0.5003851721785753,1.0854201735524382,39.0
tid_2026,Appalachian State Mountaineers,Sun Belt Conference,1.0879953126693163,5,3,0.9646995275803019,4,2,5,1.05,1.0753050875780712,0.9564968069637533,4,0.9919259618056432,4,1.0072504391876878,1.056700259437227,1.0385911504179897,0.8510698323664293,0.3797095802679621,1.0718758771220067,40.0
tid_26,UCLA Bruins,Pac-12 Conference,1.3133906521797856,4,2,0.8143673178810863,5,4,6,1.05,1.0500149345265928,1.1434604830880555,3,0.992345636629216,5,1.0821896160495306,1.3892269016339898,1.1178556336639982,0.746789190312191,0.5893026171829987,1.0631689609779413,41.0
tid_295,Old Dominion Monarchs,Sun Belt Conference,1.120423912628133,5,3,0.7787940426361223,4,3,6,1.05,0.9937983008879305,1.0658251652028405,4,0.9137158528405327,4,1.0204803336276727,1.056700259437227,1.0182796264921048,0.8522871035440505,0.12178047658648113,1.0598544982417089,42.0
tid_66,Iowa State Cyclones,Big 12 Conference,0.963960242948536,5,3,0.9189391008620752,4,3,6,1.024203358611862,0.983891394108607,1.0526794806639392,4,0.9964745308188444,4,1.0591006991670975,1.2998674466859192,1.0702228234423463,0.7899763777575577,0.27697389388427623,1.059306933621626,43.0
tid_278,Fresno State Bulldogs,Mountain West Conference,1.3006667548322781,5,3,1.014638995424052,4,2,5,1.05,1.2143697044478712,0.9730109763254144,4,0.9394135821941058,4,0.9886518007814566,0.7328715294396162,1.0081302502628011,0.8487677331090915,0.28029781387241764,1.0517612841303117,44.0
tid_96,Kentucky Wildcats,Southeastern Conference,1.0768536210811526,6,3,0.9699212600541504,3,3,6,1.05,1.0842684515652226,0.995294936565407,5,1.0153288922368362,3,1.0369396363373808,1.188165637324941,1.0775609853298256,0.744736684174224,0.7031845982816433,1.0388620026404751,45.0
tid_2649,Toledo Rockets,Mid-American Conference,1.266498887798201,5,3,1.101079329676487,4,2,5,1.05,1.240820431186211,0.9387268219883418,4,0.9445058681159296,4,0.9737063858942407,0.6883346910323047,0.9972183924479082,0.829574063988336,0.5220008013597898,1.0353993359207705,46.0
