CLEM,UNC,probability
14,29,0.0010637096464896417
41,38,0.0010602430791062244
27,32,0.0010447980592242425
31,32,0.0010424965501266894
59,30,0.001038225383163812
55,34,0.0010230410852539163
14,37,0.0010128884293006972
70,31,0.0010074026902546131
66,34,0.0010064460512320657
13,32,0.001004305546944202
21,32,0.001000023551962569
48,35,0.0009990186698945467
25,31,0.0009985376324834544
56,28,0.0009985219891153994
24,26,0.0009912481353483
17,41,0.0009683529291102567
59,35,0.0009617394665543498
77,31,0.000961114643224069
38,33,0.0009596482424371581
55,28,0.0009583398142642477
27,29,0.000948603344692726
31,29,0.0009465137358841103
23,24,0.0009430132128051936
66,28,0.000942794317556985
52,24,0.00091803780855657
13,29,0.0009118389841115264
40,31,0.0009107995746612364
21,29,0.0009079512330521967
49,30,0.0009066624238326908
27,37,0.0009032816003935332
31,37,0.0009012918275349374
26,27,0.0008973144074184032
23,38,0.0008781850532499891
63,27,0.0008781602502394253
34,33,0.0008706575342261952
10,26,0.0008699473283684078
13,37,0.0008682737431589712
21,37,0.000864571738502915
30,24,0.0008644568080993368
52,38,0.0008549266021358493
73,27,0.0008540455237933231
28,33,0.0008529214021637763
33,27,0.0008464581743678688
69,31,0.0008420404683048651
49,35,0.0008398687317627884
19,27,0.0008380663203043865
18,31,0.0008374956453715787
42,24,0.0008233371502475449
16,24,0.0008109183252098481
30,38,0.0008050290682510899
26,34,0.0008050284581306371
63,34,0.0007878442454476521
44,27,0.0007872836484899483
9,31,0.0007813071423521414
20,26,0.0007677518824831949
24,41,0.0007670742535431906
42,38,0.0007667362125096752
38,32,0.0007664698049103954
73,34,0.0007662096423602018
48,24,0.0007602278386196292
33,34,0.0007594026278302059
16,38,0.0007551711290315872
26,28,0.0007541151906434592
12,31,0.0007521043532857764
19,34,0.0007518738494201736
37,30,0.0007490893023149398
63,28,0.0007380177773252034
59,24,0.000731859311549188
6,27,0.0007286882660223506
45,33,0.0007200094061103663
73,28,0.0007177514343568155
14,26,0.0007124073568627781
33,28,0.0007113749230569283
48,38,0.0007079653984426403
44,34,0.0007063140148153238
22,27,0.000705150100316422
19,28,0.0007043222951545835
39,31,0.0007027689545594971
38,29,0.0006959008146357321
34,32,0.0006953930418372204
37,35,0.000693903999740941
59,38,0.000681547087312226
28,32,0.0006812272161934169
56,30,0.0006793016688345692
10,41,0.0006732060053718152
81,27,0.0006665807098113636
38,37,0.0006626525249739063
44,28,0.0006616438494279537
51,31,0.0006539333227205237
6,34,0.000653744982142398
55,30,0.0006519654471676118
62,27,0.0006442127323749924
66,30,0.0006413897342927645
7,33,0.0006393531025025671
49,24,0.0006391187771692304
27,26,0.0006353162291363281
31,26,0.0006339167375615965
22,34,0.0006326276423462127
34,29,0.0006313680998341675
56,35,0.0006292576113132443
32,27,0.000620161900256568
29,27,0.0006199677729184182
28,29,0.000618506523889029
35,33,0.0006169997240585437
17,36,0.0006126010216746516
6,28,0.0006123994957710143
13,26,0.000610693719568199
21,26,0.000608089942808763
55,35,0.0006039352452163224
36,31,0.0006012350544919516
34,37,0.0006012030116132101
81,34,0.0005980249916892866
17,23,0.0005977682068956373
49,38,0.000595182071406855
66,35,0.0005941386436078229
20,41,0.0005941223808257085
22,28,0.0005926177022636613
28,37,0.0005889559275518831
41,33,0.0005841275546117709
70,27,0.0005810285276809438
62,34,0.0005779574899995399
25,27,0.0005759155261827236
45,32,0.0005750705775623828
81,28,0.0005602034636943681
32,34,0.0005563802099102144
29,34,0.000556206047954918
77,27,0.0005543314818267323
14,41,0.0005512941936502884
62,28,0.0005414051122700691
37,24,0.0005280433227421617
40,27,0.000525311815222666
45,29,0.000522123742950954
70,34,0.0005212715809552388
32,28,0.0005211924669607172
29,28,0.000521029319714437
25,34,0.00051668443549262
17,25,0.0005135442475115265
26,30,0.0005130299713794262
7,32,0.0005106504926216118
63,30,0.0005020787856767475
77,34,0.0004973202418449136
45,37,0.0004971780594859376
35,32,0.000492796878289378
37,38,0.0004917425834588186
27,41,0.0004916374667957244
31,41,0.0004905544746399308
70,28,0.0004883042502148249
73,30,0.0004882914472408698
69,27,0.00048565438456720243
24,36,0.0004852677750999763
25,28,0.0004840072144515367
33,30,0.00048395346088245906
23,33,0.0004838249810448703
18,27,0.00048303311721995066
15,31,0.0004811367816160985
19,30,0.00047915550755148
56,24,0.00047884906278489734
26,35,0.00047523512620861584
24,23,0.00047351806073187794
13,41,0.00047258341516747467
40,34,0.00047128515618419324
52,33,0.0004710110306960383
21,41,0.00047056849070717735
41,32,0.0004665419192443201
38,26,0.0004660716029316594
77,28,0.0004658676910138109
63,35,0.0004650907128022157
7,29,0.00046363482492446173
17,42,0.0004635512417610912
55,24,0.00045957938522358616
73,35,0.0004523190856319011
66,24,0.000452124420175302
9,27,0.0004506258946685312
44,30,0.0004501210549090809
33,35,0.0004483006781127702
35,29,0.00044742499555036646
56,38,0.000445930220266524
19,35,0.00044385618932265127
30,33,0.0004435206136175012
7,37,0.0004414835863683359
40,28,0.00044147916985265353
69,34,0.00043570636686569717
12,27,0.0004337829244248059
18,34,0.000433354688576058
55,38,0.0004279852513249425
35,37,0.00042604821951973827
10,36,0.00042588468965257633
41,29,0.00042358733453537115
43,31,0.0004229833456885673
34,26,0.00042285155605638667
42,33,0.00042242364762533477
66,38,0.0004210427835111255
44,35,0.00041696070068519744
6,30,0.0004166197680225759
16,33,0.0004160520107204928
10,23,0.0004155728088438146
28,26,0.00041423766282489824
69,28,0.0004081505275931184
24,25,0.00040680061832750565
18,28,0.00040594757898451716
39,27,0.0004053282911765689
9,34,0.0004042804463849362
41,37,0.00040334945853419884
22,30,0.0004031620720593749
47,31,0.0003927505847811536
48,33,0.00039004460872374647
12,34,0.0003891697223694195
23,32,0.00038643038400241895
6,35,0.00038592744884836775
81,30,0.0003811104331429103
9,28,0.0003787121098885738
51,27,0.000377161902958372
52,32,0.0003761958985006713
20,36,0.00037585467710416246
59,33,0.00037548977334524956
22,35,0.00037346117943655796
62,30,0.0003683217798803238
24,42,0.00036719899539067944
20,23,0.00036675416533212506
12,28,0.00036455704939769004
39,34,0.0003636415581706473
26,24,0.0003616418628811402
38,41,0.0003606680448290178
10,25,0.0003570196991778249
32,30,0.00035457097234691345
29,30,0.00035445998210546456
30,32,0.00035423933808267883
63,24,0.0003539222218870178
81,35,0.00035303408162900646
23,29,0.00035085168039818615
45,26,0.00034968639881993583
14,36,0.0003487606389374764
36,27,0.00034676770459421646
73,24,0.0003442033379342595
52,29,0.00034155948551664556
62,35,0.0003411875666370224
33,24,0.00034114543185600354
39,28,0.0003406433899275168
14,23,0.0003403161509648172
51,34,0.0003383719939120729
19,24,0.0003377632887504718
42,32,0.0003373892187440025
26,38,0.0003367805183418001
11,31,0.00033550618217408334
23,37,0.0003340889204575711
16,32,0.00033230020062314256
70,30,0.00033219688267837266
54,31,0.00033131265382701147
63,38,0.0003295915699310692
25,30,0.00032927357843784264
32,35,0.0003284497791427756
29,35,0.00032834696553666004
49,33,0.0003279080569077903
34,41,0.00032722234741713576
52,37,0.00032524068192802487
10,42,0.0003222641976596912
30,29,0.00032162446892030895
28,41,0.00032055651321778766
73,38,0.00032054081803736627
33,38,0.0003176931300350122
44,24,0.0003172965048838314
51,28,0.00031697197548760685
77,30,0.0003169331305784747
20,25,0.0003150794734221901
19,38,0.0003145434949260882
