SEA,SF,probability
6,20,8.99E-05
14,54,8.93E-05
13,50,8.88E-05
48,48,8.85E-05
23,22,8.83E-05
7,43,8.67E-05
70,41,8.67E-05
56,33,8.66E-05
36,45,8.62E-05
31,47,8.57E-05
43,37,8.56E-05
44,36,8.53E-05
47,41,8.49E-05
23,21,8.47E-05
18,26,8.33E-05
19,20,8.30E-05
18,32,8.30E-05
10,50,8.30E-05
25,25,8.27E-05
56,28,8.22E-05
15,25,8.19E-05
44,29,8.18E-05
51,23,8.15E-05
40,36,8.12E-05
12,39,8.09E-05
45,25,8.08E-05
42,26,8.08E-05
42,32,8.05E-05
11,23,8.03E-05
30,20,8.02E-05
9,20,8.00E-05
27,49,7.98E-05
51,44,7.98E-05
44,42,7.94E-05
29,23,7.87E-05
11,44,7.85E-05
39,41,7.83E-05
54,26,7.82E-05
54,32,7.80E-05
40,29,7.79E-05
51,48,7.78E-05
17,50,7.76E-05
36,36,7.75E-05
21,47,7.70E-05
29,44,7.70E-05
7,20,7.67E-05
11,48,7.66E-05
34,47,7.66E-05
40,42,7.57E-05
23,54,7.54E-05
29,48,7.52E-05
38,51,7.51E-05
32,45,7.50E-05
22,51,7.48E-05
36,29,7.43E-05
35,23,7.42E-05
25,39,7.38E-05
15,39,7.31E-05
44,40,7.29E-05
8,27,7.28E-05
6,47,7.26E-05
35,44,7.26E-05
56,35,7.23E-05
20,50,7.23E-05
36,42,7.22E-05
45,39,7.22E-05
31,22,7.18E-05
70,33,7.13E-05
50,27,7.10E-05
35,48,7.08E-05
14,49,7.04E-05
47,33,6.99E-05
40,40,6.94E-05
49,41,6.93E-05
33,25,6.90E-05
3,27,6.88E-05
31,21,6.88E-05
37,51,6.82E-05
28,43,6.81E-05
70,28,6.77E-05
32,36,6.75E-05
41,51,6.74E-05
19,47,6.71E-05
8,30,6.67E-05
48,25,6.66E-05
47,28,6.64E-05
36,40,6.63E-05
26,51,6.52E-05
50,30,6.50E-05
30,47,6.48E-05
32,29,6.47E-05
9,47,6.46E-05
56,24,6.46E-05
21,22,6.45E-05
39,33,6.44E-05
18,23,6.44E-05
34,22,6.41E-05
43,41,6.40E-05
44,26,6.33E-05
44,32,6.31E-05
18,44,6.31E-05
3,30,6.30E-05
32,42,6.28E-05
42,23,6.25E-05
7,47,6.19E-05
21,21,6.19E-05
33,39,6.16E-05
18,48,6.15E-05
34,21,6.15E-05
31,54,6.13E-05
39,28,6.12E-05
42,44,6.11E-05
6,22,6.08E-05
54,23,6.05E-05
40,26,6.03E-05
28,20,6.02E-05
40,32,6.01E-05
13,56,5.97E-05
42,48,5.97E-05
70,35,5.96E-05
8,38,5.95E-05
48,39,5.95E-05
23,49,5.94E-05
54,44,5.92E-05
51,25,5.86E-05
12,51,5.85E-05
47,35,5.84E-05
6,21,5.83E-05
50,38,5.81E-05
54,48,5.78E-05
11,25,5.77E-05
32,40,5.76E-05
36,26,5.76E-05
36,32,5.74E-05
49,33,5.71E-05
29,25,5.66E-05
38,43,5.65E-05
8,37,5.64E-05
3,38,5.63E-05
22,43,5.62E-05
19,22,5.62E-05
10,56,5.58E-05
21,54,5.51E-05
50,37,5.50E-05
34,54,5.48E-05
30,22,5.43E-05
49,28,5.42E-05
9,22,5.42E-05
39,35,5.38E-05
19,21,5.38E-05
25,51,5.33E-05
3,37,5.33E-05
35,25,5.33E-05
70,24,5.33E-05
15,51,5.28E-05
43,33,5.27E-05
51,39,5.23E-05
17,56,5.22E-05
47,24,5.22E-05
45,51,5.22E-05
30,21,5.20E-05
