DET,GB,probability
41,56,9.15E-05
47,14,9.11E-05
44,45,9.11E-05
17,27,9.11E-05
21,45,9.03E-05
43,31,9.02E-05
25,54,8.99E-05
48,12,8.97E-05
42,11,8.96E-05
33,56,8.95E-05
45,18,8.91E-05
32,11,8.91E-05
38,39,8.89E-05
19,14,8.88E-05
29,36,8.85E-05
24,43,8.83E-05
40,29,8.68E-05
20,18,8.64E-05
25,42,8.64E-05
44,12,8.60E-05
48,25,8.60E-05
37,39,8.58E-05
21,12,8.52E-05
40,35,8.49E-05
22,26,8.47E-05
42,54,8.45E-05
32,54,8.40E-05
38,49,8.37E-05
36,18,8.32E-05
44,25,8.24E-05
40,11,8.24E-05
43,34,8.22E-05
39,38,8.21E-05
21,25,8.17E-05
41,70,8.14E-05
48,15,8.13E-05
28,39,8.13E-05
42,42,8.12E-05
37,49,8.07E-05
32,42,8.07E-05
47,23,7.99E-05
48,48,7.98E-05
33,70,7.96E-05
26,32,7.93E-05
54,14,7.92E-05
45,44,7.89E-05
51,28,7.80E-05
44,15,7.80E-05
19,23,7.78E-05
30,50,7.78E-05
40,54,7.77E-05
25,18,7.74E-05
21,15,7.72E-05
30,3,7.71E-05
43,21,7.66E-05
20,44,7.66E-05
44,48,7.65E-05
28,49,7.65E-05
22,45,7.62E-05
49,16,7.61E-05
21,48,7.58E-05
17,14,7.56E-05
48,33,7.53E-05
29,32,7.51E-05
39,41,7.50E-05
40,42,7.47E-05
43,6,7.45E-05
38,43,7.45E-05
39,22,7.42E-05
39,37,7.41E-05
36,44,7.37E-05
45,40,7.34E-05
42,18,7.28E-05
49,24,7.26E-05
32,18,7.23E-05
44,33,7.22E-05
22,12,7.19E-05
37,43,7.19E-05
23,56,7.17E-05
21,33,7.15E-05
48,51,7.14E-05
20,40,7.11E-05
41,47,7.01E-05
50,13,6.95E-05
54,23,6.94E-05
35,56,6.91E-05
22,25,6.89E-05
51,38,6.88E-05
33,47,6.86E-05
25,44,6.86E-05
36,40,6.85E-05
44,51,6.84E-05
45,36,6.83E-05
28,43,6.81E-05
47,31,6.81E-05
43,30,6.78E-05
21,51,6.78E-05
40,18,6.69E-05
30,8,6.67E-05
19,31,6.63E-05
17,23,6.63E-05
20,36,6.62E-05
39,26,6.62E-05
43,19,6.60E-05
50,10,6.53E-05
22,15,6.52E-05
49,27,6.47E-05
42,44,6.45E-05
32,44,6.41E-05
22,48,6.39E-05
36,36,6.38E-05
23,70,6.37E-05
25,40,6.37E-05
43,9,6.33E-05
51,41,6.28E-05
51,22,6.22E-05
43,7,6.22E-05
51,37,6.21E-05
47,34,6.20E-05
41,39,6.16E-05
35,70,6.15E-05
