BYU,OU,probability
73,59,0.00033417935156141023
37,52,0.00033403166972536294
34,66,0.00033388161559158125
12,52,0.00033377900756460923
14,30,0.0003327985424455549
28,66,0.00033247639045438227
30,42,0.00033246274486924224
13,30,0.00033158514156470534
23,56,0.0003311838495928183
41,34,0.0003301889043282641
49,49,0.00032990544909074237
38,44,0.00032917790784707025
16,35,0.0003290489739721698
35,34,0.0003274762700346262
52,34,0.0003269086838935453
14,54,0.0003268768474279429
20,40,0.0003264762579303814
45,31,0.00032626732383099065
13,54,0.0003256850373566494
9,34,0.0003242389615364657
23,55,0.0003235620617627287
81,59,0.0003232332613702729
66,42,0.00032077369360557163
73,49,0.0003194921104101053
20,70,0.00031657553187142536
77,38,0.000316216356037349
45,66,0.00031530228038219093
55,41,0.0003150997464388592
14,43,0.0003144751244148521
55,48,0.0003143832748018641
13,43,0.00031332853167389174
17,81,0.0003131838830629292
69,45,0.0003118805553591847
24,69,0.0003101041797674369
37,38,0.00030916552821656405
81,49,0.0003090271028039631
12,38,0.00030893167485034284
6,81,0.00030806691151298257
59,34,0.0003067826680921658
21,51,0.00030578700646211976
34,63,0.00030552180669939885
28,63,0.00030423594098326546
49,42,0.0003030091830840916
26,45,0.00030238822853370824
56,59,0.0003018655000198552
17,53,0.0002975143541055085
70,52,0.00029725338636715727
63,41,0.00029485134296035104
63,48,0.00029418091200396823
73,42,0.00029344481470068275
6,53,0.00029265339998880914
34,44,0.0002896639383509058
23,34,0.0002890054150814661
16,31,0.00028887252083116587
56,49,0.00028859845831504736
45,63,0.0002885205949064432
28,44,0.00028844481448034006
14,77,0.0002882655128849838
13,77,0.00028721448175761513
19,52,0.0002866195083689804
48,56,0.0002852397836391631
44,45,0.000284344877434935
21,73,0.0002841338188149901
81,42,0.0002838329898143537
55,59,0.00028303034597535273
41,35,0.00028265402489129575
20,69,0.0002824660672977402
17,46,0.00028078333301435746
14,33,0.0002807260634956959
14,50,0.0002806986286591437
35,35,0.00028033190869930936
52,35,0.00027984603377999485
13,33,0.0002797025215948811
13,50,0.000279675186787177
16,66,0.0002791642248704008
14,58,0.0002787901724974309
48,55,0.00027867534182151026
13,58,0.00027777368895638314
42,56,0.0002777003056280454
9,35,0.00027756065180719355
6,46,0.00027619573957665504
70,38,0.00027512511099897843
45,44,0.00027354516104369144
38,37,0.0002718196524840659
33,45,0.0002715464496156372
42,55,0.000271309375597942
55,49,0.0002705911125964664
77,41,0.0002687179009599893
30,56,0.00026847411926659973
27,51,0.00026837828706261624
62,52,0.0002681609987571907
77,48,0.0002681068920443473
38,62,0.0002666396280405054
22,45,0.0002663595182998235
19,38,0.00026528284511143573
56,42,0.0002650698354161398
63,59,0.000264842731714347
17,65,0.0002632311655328466
37,41,0.00026272616898326685
59,35,0.00026261741314279074
12,41,0.00026252744243258853
30,55,0.00026229551853641314
37,48,0.0002621287840265976
12,48,0.0002619305093389838
31,51,0.00025921006957160266
66,56,0.00025903484286192956
6,65,0.00025893034911816465
17,36,0.0002556444573225752
16,63,0.00025545209548935913
63,49,0.000253202847174251
66,55,0.0002530734754361883
6,36,0.0002514675967439664
27,73,0.00024937406095956255
48,34,0.0002489126271396887
14,81,0.00024870463269375333
55,42,0.0002485305780903258
62,38,0.00024819843248998733
41,31,0.00024814233488638547
